PCON24CD,Other tenure,Owned outright,Owned with a mortgage or loan,Private rented,Social rented
E14001589,0.4,47.7,32.0,11.5,8.3
E14001590,0.7,37.3,34.8,13.1,14.0
E14001591,2.4,34.6,30.7,18.5,13.8
E14001592,0.9,32.0,34.5,21.1,11.5
E14001593,2.2,36.7,38.7,14.0,8.3
E14001594,0.7,30.5,26.0,15.1,27.8
E14001595,0.8,25.4,24.0,18.6,31.3
E14001596,0.9,33.5,25.9,22.1,17.7
E14001597,1.1,32.0,29.4,21.2,16.3
E14001598,0.8,30.0,32.8,16.7,19.7
E14001599,0.8,40.4,28.7,20.0,10.0
W07000111,0.6,34.9,28.3,16.6,19.6
E14001600,1.5,28.2,34.2,21.4,14.7
E14001601,1.1,40.7,28.0,16.0,14.2
E14001602,1.0,23.0,26.6,16.6,32.8
E14001603,1.2,39.2,26.9,17.5,15.1
W07000112,0.6,44.6,23.6,15.6,15.6
E14001604,0.9,27.5,24.9,28.0,18.7
E14001605,0.9,47.3,32.2,11.1,8.6
N05000001,2.5,28.3,30.8,18.5,19.9
N05000002,3.1,26.1,26.2,16.9,27.7
N05000003,2.7,29.6,26.9,26.8,14.0
N05000004,3.8,22.4,26.3,12.5,34.9
N05000005,2.7,39.1,32.1,14.9,11.2
N05000006,3.1,38.7,26.5,18.4,13.3
N05000007,3.4,41.6,26.3,18.7,10.0
N05000008,2.7,26.1,25.4,18.3,27.5
N05000009,3.3,36.7,35.6,11.9,12.6
N05000010,3.5,39.4,30.9,17.7,8.6
N05000011,3.1,37.3,29.1,18.8,11.7
N05000012,3.5,39.1,27.2,16.6,13.6
N05000013,2.9,38.6,32.9,13.8,11.8
N05000014,3.2,35.5,37.3,13.8,10.1
N05000015,3.2,39.4,30.7,17.4,9.3
N05000016,3.1,39.5,31.3,13.3,12.9
N05000017,3.3,32.1,31.5,20.8,12.3
N05000018,3.4,39.8,26.3,18.9,11.6
