geography_code,date,value,Measure
E07000007,2001-02,552.1000000000058,net_additional_dwellings
E10000003,2001-02,2206.5999999999985,net_additional_dwellings
E07000008,2001-02,104.5,net_additional_dwellings
E07000009,2001-02,746.4000000000015,net_additional_dwellings
E07000010,2001-02,488.1999999999971,net_additional_dwellings
E07000011,2001-02,293.90000000000146,net_additional_dwellings
E07000012,2001-02,573.5999999999985,net_additional_dwellings
E10000004,2001-02,1015.2999999999884,net_additional_dwellings
E07000013,2001-02,485.1414399732239,net_additional_dwellings
E07000014,2001-02,222.21107502499217,net_additional_dwellings
E07000015,2001-02,-367.36166608943313,net_additional_dwellings
E07000016,2001-02,6.945022445012,net_additional_dwellings
E07000017,2001-02,72.9505910644366,net_additional_dwellings
E07000018,2001-02,595.4135375817568,net_additional_dwellings
E10000005,2001-02,3370.5,net_additional_dwellings
E07000019,2001-02,461.0071286407474,net_additional_dwellings
E07000020,2001-02,495.96041523031454,net_additional_dwellings
E07000025,2001-02,11.5,net_additional_dwellings
E07000021,2001-02,494.73204289325804,net_additional_dwellings
E07000022,2001-02,751.4938491624707,net_additional_dwellings
E07000023,2001-02,366.68242425819335,net_additional_dwellings
E07000024,2001-02,789.124139815016,net_additional_dwellings
E10000006,2001-02,820.0004921562577,net_additional_dwellings
E07000026,2001-02,309.6999999999971,net_additional_dwellings
E07000027,2001-02,-85.09999999999854,net_additional_dwellings
E07000028,2001-02,-584.0,net_additional_dwellings
E07000029,2001-02,125.5,net_additional_dwellings
E07000030,2001-02,659.5,net_additional_dwellings
E07000031,2001-02,394.40049215625913,net_additional_dwellings
E10000007,2001-02,2707.0000000000073,net_additional_dwellings
E07000032,2001-02,382.90000000000146,net_additional_dwellings
E07000033,2001-02,365.7999999999993,net_additional_dwellings
E07000034,2001-02,395.40000000000146,net_additional_dwellings
E07000035,2001-02,161.20000000000073,net_additional_dwellings
E07000036,2001-02,111.09999999999854,net_additional_dwellings
E07000037,2001-02,227.90000000000146,net_additional_dwellings
E07000038,2001-02,221.90000000000146,net_additional_dwellings
E07000039,2001-02,840.8000000000029,net_additional_dwellings
E10000008,2001-02,2881.573884638532,net_additional_dwellings
E07000040,2001-02,419.47388463852985,net_additional_dwellings
E07000041,2001-02,183.90000000000146,net_additional_dwellings
E07000042,2001-02,480.59999999999854,net_additional_dwellings
E07000043,2001-02,417.5,net_additional_dwellings
E07000044,2001-02,256.1999999999971,net_additional_dwellings
E07000045,2001-02,403.3000000000029,net_additional_dwellings
E07000046,2001-02,482.90000000000146,net_additional_dwellings
E07000047,2001-02,237.70000000000073,net_additional_dwellings
E10000009,2001-02,2334.5000000000036,net_additional_dwellings
E07000048,2001-02,152.29999999999927,net_additional_dwellings
E07000049,2001-02,679.8000000000029,net_additional_dwellings
E07000050,2001-02,543.0,net_additional_dwellings
E07000051,2001-02,111.79999999999927,net_additional_dwellings
E07000052,2001-02,610.3000000000029,net_additional_dwellings
E07000053,2001-02,237.29999999999927,net_additional_dwellings
E10000010,2001-02,1141.766130514703,net_additional_dwellings
E07000054,2001-02,163.78993982905013,net_additional_dwellings
E07000055,2001-02,386.429570931803,net_additional_dwellings
E07000056,2001-02,180.9333053970986,net_additional_dwellings
E07000057,2001-02,82.9548768799068,net_additional_dwellings
E07000058,2001-02,166.10355052600062,net_additional_dwellings
E07000059,2001-02,72.71917529448729,net_additional_dwellings
E07000060,2001-02,88.83571165635658,net_additional_dwellings
E10000011,2001-02,1599.0999999999913,net_additional_dwellings
E07000061,2001-02,201.59999999999854,net_additional_dwellings
E07000062,2001-02,308.5,net_additional_dwellings
E07000063,2001-02,272.1999999999971,net_additional_dwellings
E07000064,2001-02,428.09999999999854,net_additional_dwellings
E07000065,2001-02,388.6999999999971,net_additional_dwellings
E10000012,2001-02,3586.0183250155897,net_additional_dwellings
E07000066,2001-02,167.8000000000029,net_additional_dwellings
E07000067,2001-02,788.5999999999985,net_additional_dwellings
E07000068,2001-02,195.40000000000146,net_additional_dwellings
E07000069,2001-02,181.1999999999971,net_additional_dwellings
E07000070,2001-02,489.1183250155882,net_additional_dwellings
E07000071,2001-02,532.5,net_additional_dwellings
E07000072,2001-02,255.90000000000146,net_additional_dwellings
E07000073,2001-02,138.8000000000029,net_additional_dwellings
E07000074,2001-02,225.59999999999854,net_additional_dwellings
E07000075,2001-02,139.09999999999854,net_additional_dwellings
E07000076,2001-02,271.40000000000146,net_additional_dwellings
E07000077,2001-02,200.59999999999854,net_additional_dwellings
E10000013,2001-02,2028.8499999999985,net_additional_dwellings
E07000078,2001-02,322.6999999999971,net_additional_dwellings
E07000079,2001-02,295.8000000000029,net_additional_dwellings
E07000080,2001-02,163.0,net_additional_dwellings
E07000081,2001-02,310.09999999999854,net_additional_dwellings
E07000082,2001-02,567.4000000000015,net_additional_dwellings
E07000083,2001-02,369.84999999999854,net_additional_dwellings
E10000014,2001-02,3843.7000000000116,net_additional_dwellings
E07000084,2001-02,591.0999999999985,net_additional_dwellings
E07000085,2001-02,309.8000000000029,net_additional_dwellings
E07000086,2001-02,245.8000000000029,net_additional_dwellings
E07000087,2001-02,326.8000000000029,net_additional_dwellings
E07000088,2001-02,517.5,net_additional_dwellings
E07000089,2001-02,281.0,net_additional_dwellings
E07000090,2001-02,173.40000000000146,net_additional_dwellings
E07000091,2001-02,845.0,net_additional_dwellings
E07000092,2001-02,-143.1999999999971,net_additional_dwellings
E07000093,2001-02,342.40000000000146,net_additional_dwellings
E07000094,2001-02,354.09999999999854,net_additional_dwellings
E10000015,2001-02,3205.399999999994,net_additional_dwellings
E07000095,2001-02,173.0,net_additional_dwellings
E07000096,2001-02,420.5,net_additional_dwellings
E07000242,2001-02,639.3000000000029,net_additional_dwellings
E07000098,2001-02,282.5,net_additional_dwellings
E07000099,2001-02,687.1999999999971,net_additional_dwellings
E07000240,2001-02,414.90000000000146,net_additional_dwellings
E07000243,2001-02,188.1999999999971,net_additional_dwellings
E07000102,2001-02,208.6999999999971,net_additional_dwellings
E07000103,2001-02,140.59999999999854,net_additional_dwellings
E07000241,2001-02,50.5,net_additional_dwellings
E10000016,2001-02,6476.26201048951,net_additional_dwellings
E07000105,2001-02,826.0999999999985,net_additional_dwellings
E07000106,2001-02,549.4000000000015,net_additional_dwellings
E07000107,2001-02,411.8000000000029,net_additional_dwellings
E07000108,2001-02,509.90000000000146,net_additional_dwellings
E07000109,2001-02,103.69999999999709,net_additional_dwellings
E07000110,2001-02,639.7620104895104,net_additional_dwellings
E07000111,2001-02,240.6999999999971,net_additional_dwellings
E07000112,2001-02,1338.5999999999985,net_additional_dwellings
E07000113,2001-02,782.8000000000029,net_additional_dwellings
E07000114,2001-02,315.40000000000146,net_additional_dwellings
E07000115,2001-02,334.59999999999854,net_additional_dwellings
E07000116,2001-02,423.5,net_additional_dwellings
E10000017,2001-02,2982.517295034737,net_additional_dwellings
E07000117,2001-02,-50.900000000001455,net_additional_dwellings
E07000118,2001-02,515.4000000000015,net_additional_dwellings
E07000119,2001-02,281.90000000000146,net_additional_dwellings
E07000120,2001-02,47.27036830357247,net_additional_dwellings
E07000121,2001-02,107.5,net_additional_dwellings
E07000122,2001-02,227.1999999999971,net_additional_dwellings
E07000123,2001-02,282.6999999999971,net_additional_dwellings
E07000124,2001-02,158.31405721316696,net_additional_dwellings
E07000125,2001-02,244.69726238080693,net_additional_dwellings
E07000126,2001-02,377.90000000000146,net_additional_dwellings
E07000127,2001-02,340.90000000000146,net_additional_dwellings
E07000128,2001-02,449.635607137192,net_additional_dwellings
E10000018,2001-02,2230.77400652253,net_additional_dwellings
E07000129,2001-02,396.0,net_additional_dwellings
E07000130,2001-02,461.3000000000029,net_additional_dwellings
E07000131,2001-02,213.57400652252545,net_additional_dwellings
E07000132,2001-02,511.5,net_additional_dwellings
E07000133,2001-02,132.79999999999927,net_additional_dwellings
E07000134,2001-02,526.8000000000029,net_additional_dwellings
E07000135,2001-02,-11.200000000000728,net_additional_dwellings
E10000019,2001-02,4016.0,net_additional_dwellings
E07000136,2001-02,365.5,net_additional_dwellings
E07000137,2001-02,749.6999999999971,net_additional_dwellings
E07000138,2001-02,218.09999999999854,net_additional_dwellings
E07000139,2001-02,809.3000000000029,net_additional_dwellings
E07000140,2001-02,613.5999999999985,net_additional_dwellings
E07000141,2001-02,739.9000000000015,net_additional_dwellings
E07000142,2001-02,519.9000000000015,net_additional_dwellings
E10000020,2001-02,3283.899999999994,net_additional_dwellings
E07000143,2001-02,368.3000000000029,net_additional_dwellings
E07000144,2001-02,323.6999999999971,net_additional_dwellings
E07000145,2001-02,232.09999999999854,net_additional_dwellings
E07000146,2001-02,969.0999999999985,net_additional_dwellings
E07000147,2001-02,509.5,net_additional_dwellings
E07000148,2001-02,347.1999999999971,net_additional_dwellings
E07000149,2001-02,534.0,net_additional_dwellings
E10000021,2001-02,2987.858618190603,net_additional_dwellings
E07000150,2001-02,28.299999999999272,net_additional_dwellings
E07000151,2001-02,407.02374682932714,net_additional_dwellings
E07000152,2001-02,488.90000000000146,net_additional_dwellings
E07000153,2001-02,633.0348713612766,net_additional_dwellings
E07000154,2001-02,875.1999999999971,net_additional_dwellings
E07000155,2001-02,319.8000000000029,net_additional_dwellings
E07000156,2001-02,235.59999999999854,net_additional_dwellings
E10000022,2001-02,619.8519761029438,net_additional_dwellings
E07000157,2001-02,117.49423223796475,net_additional_dwellings
E07000158,2001-02,61.99282107273575,net_additional_dwellings
E07000159,2001-02,242.69510165466636,net_additional_dwellings
E07000160,2001-02,163.04492482354544,net_additional_dwellings
E07000161,2001-02,228.94043096734458,net_additional_dwellings
E07000162,2001-02,-194.31553465331308,net_additional_dwellings
E10000023,2001-02,1866.6999999999935,net_additional_dwellings
E07000163,2001-02,189.09999999999854,net_additional_dwellings
E07000164,2001-02,352.6999999999971,net_additional_dwellings
E07000165,2001-02,525.6999999999971,net_additional_dwellings
E07000166,2001-02,375.09999999999854,net_additional_dwellings
E07000167,2001-02,3.099999999998545,net_additional_dwellings
E07000168,2001-02,329.3000000000029,net_additional_dwellings
E07000169,2001-02,91.70000000000073,net_additional_dwellings
E10000024,2001-02,1601.0180698152035,net_additional_dwellings
E07000170,2001-02,514.3000000000029,net_additional_dwellings
E07000171,2001-02,235.40000000000146,net_additional_dwellings
E07000172,2001-02,76.09999999999854,net_additional_dwellings
E07000173,2001-02,90.80000000000291,net_additional_dwellings
E07000174,2001-02,263.8000000000029,net_additional_dwellings
E07000175,2001-02,313.81806981519185,net_additional_dwellings
E07000176,2001-02,106.80000000000291,net_additional_dwellings
E10000025,2001-02,1719.1000000000058,net_additional_dwellings
E07000177,2001-02,343.3000000000029,net_additional_dwellings
E07000178,2001-02,349.09999999999854,net_additional_dwellings
E07000179,2001-02,348.8000000000029,net_additional_dwellings
E07000180,2001-02,139.90000000000146,net_additional_dwellings
E07000181,2001-02,538.0,net_additional_dwellings
E10000026,2001-02,1238.199999999997,net_additional_dwellings
E07000182,2001-02,179.98142451355307,net_additional_dwellings
E07000183,2001-02,219.69611741881454,net_additional_dwellings
E07000184,2001-02,222.2375553572747,net_additional_dwellings
E07000185,2001-02,349.41394225652766,net_additional_dwellings
E07000186,2001-02,266.87096045382714,net_additional_dwellings
E10000027,2001-02,2330.6508295366584,net_additional_dwellings
E07000187,2001-02,630.5,net_additional_dwellings
E07000188,2001-02,323.40000000000146,net_additional_dwellings
E07000189,2001-02,746.3999999999942,net_additional_dwellings
E07000190,2001-02,491.09999999999854,net_additional_dwellings
E07000191,2001-02,139.25082953666424,net_additional_dwellings
E07000246,2001-02,,net_additional_dwellings
E10000028,2001-02,2911.8237461938043,net_additional_dwellings
E07000192,2001-02,564.9536090589827,net_additional_dwellings
E07000193,2001-02,575.0508251723368,net_additional_dwellings
E07000194,2001-02,530.6193119624731,net_additional_dwellings
E07000195,2001-02,136.3000000000029,net_additional_dwellings
E07000196,2001-02,314.3000000000029,net_additional_dwellings
E07000197,2001-02,824.3000000000029,net_additional_dwellings
E07000198,2001-02,340.8000000000029,net_additional_dwellings
E07000199,2001-02,-374.5,net_additional_dwellings
E10000029,2001-02,2687.8485963817875,net_additional_dwellings
E07000200,2001-02,281.5485963817846,net_additional_dwellings
E07000201,2001-02,206.09999999999854,net_additional_dwellings
E07000202,2001-02,401.40000000000146,net_additional_dwellings
E07000203,2001-02,389.59999999999854,net_additional_dwellings
E07000204,2001-02,434.8000000000029,net_additional_dwellings
E07000205,2001-02,435.0,net_additional_dwellings
