PCON24CD,First party,Electorate,Valid votes,Invalid votes,PCON24NM,Other tenure,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,value
E14001451,Lab,69459,41608,104,Rother Valley,0.4,39.9,32.7,13.5,13.5,0.514
E14001452,Lab,75929,36932,364,Rotherham,0.9,28.8,27.0,17.1,26.1,0.504
E14001453,Lab,74901,49004,196,Rugby,1.5,33.3,33.8,18.4,13.0,0.496
E14001455,Lab,70801,42235,171,Runcorn and Helsby,1.2,34.5,29.3,13.3,21.7,0.483
E14001457,Lab,79160,57744,212,Rushcliffe,1.1,41.0,34.5,14.8,8.5,0.513
E14001459,Lab,83633,39704,185,Salford,0.9,15.9,19.2,36.4,27.5,0.506
E14001461,Lab,74544,44221,120,Scarborough and Whitby,1.0,40.0,22.6,22.3,14.2,0.504
E14001462,Lab,73855,39051,103,Scunthorpe,0.4,35.4,28.5,18.2,17.6,0.506
E14001463,Lab,74284,47449,225,Sefton Central,0.5,49.1,33.0,10.3,7.1,0.496
E14001464,Lab,78043,49222,161,Selby,1.3,36.1,37.4,12.9,12.4,0.488
E14001466,Lab,70389,31612,529,Sheffield Brightside and Hillsborough,0.5,25.2,23.1,17.0,34.2,0.518
E14001467,Lab,60594,31803,287,Sheffield Central,0.6,18.6,18.6,45.0,17.2,0.503
E14001468,Lab,72900,51601,504,Sheffield Hallam,0.2,44.6,34.5,13.2,7.5,0.502
E14001469,Lab,73452,38446,638,Sheffield Heeley,0.4,27.1,25.8,15.2,31.4,0.501
E14001470,Lab,74156,35771,796,Sheffield South East,0.6,33.2,30.4,12.8,23.0,0.501
E14001471,Lab,78896,48660,161,Sherwood Forest,0.7,37.8,33.4,14.8,13.3,0.515
E14001472,Lab,74130,48303,147,Shipley,0.6,37.8,33.1,17.5,11.0,0.518
E14001473,Lab,76599,51560,195,Shrewsbury,1.0,38.9,28.0,17.7,14.4,0.507
E14001474,Lab,79067,40998,90,Sittingbourne and Sheppey,1.3,33.1,33.4,19.4,12.8,0.507
E14001477,Lab,81295,43278,167,Slough,1.2,20.0,29.0,31.5,18.3,0.502
E14001478,Lab,72863,35115,211,Smethwick,1.2,27.5,26.1,21.8,23.3,0.519
E14001483,Lab,73714,45737,153,South Derbyshire,1.0,36.6,37.7,14.3,10.4,0.489
E14001485,Lab,75924,49037,171,South Dorset,0.9,42.2,23.9,19.7,13.2,0.486
E14001486,Lab,72654,49286,136,South East Cornwall,1.1,44.7,25.2,17.1,11.9,0.495
E14001489,Lab,74006,49579,164,South Norfolk,1.4,39.8,34.2,13.5,11.1,0.494
E14001491,Lab,73420,46720,170,South Ribble,0.9,41.0,35.3,11.8,10.9,0.482
E14001492,Lab,68366,36824,88,South Shields,0.7,31.9,25.5,14.5,27.4,0.481
E14001497,Lab,74724,44335,139,South West Norfolk,0.6,39.7,26.2,19.4,14.1,0.491
E14001499,Lab,68379,38053,124,Southampton Itchen,1.5,23.5,27.3,25.4,22.4,0.482
E14001500,Lab,65520,35805,160,Southampton Test,0.9,20.8,23.4,33.3,21.6,0.499
E14001501,Lab,70217,39656,145,Southend East and Rochford,1.1,28.6,26.5,27.4,16.5,0.485
E14001502,Lab,75154,46968,163,Southend West and Leigh,0.5,35.0,34.0,23.1,7.6,0.505
E14001503,Lab,77542,45671,256,Southgate and Wood Green,1.5,24.3,23.3,32.5,18.4,0.489
E14001504,Lab,73641,45059,127,Southport,1.1,40.3,28.3,23.3,7.0,0.486
E14001506,Lab,72642,41058,137,Spen Valley,0.5,35.4,33.6,16.5,14.0,0.504
E14001508,Lab,76076,46732,130,St Austell and Newquay,1.4,39.0,26.7,21.7,11.2,0.485
E14001509,Lab,75483,40474,155,St Helens North,0.8,35.0,30.4,13.3,20.5,0.501
E14001510,Lab,71569,38035,85,St Helens South and Whiston,0.9,33.8,29.3,16.9,19.2,0.519
E14001513,Lab,70608,46009,160,Stafford,0.9,37.3,30.2,16.7,14.8,0.488
E14001515,Lab,72265,37239,117,Stalybridge and Hyde,0.4,29.9,32.2,16.4,21.0,0.509
E14001516,Lab,70976,42715,155,Stevenage,1.6,27.6,31.0,14.9,25.0,0.517
E14001517,Lab,76632,43683,185,Stockport,1.5,27.0,31.6,19.8,20.0,0.493
E14001518,Lab,70242,37401,125,Stockton North,0.6,29.2,29.4,19.1,21.7,0.516
E14001520,Lab,73812,35289,137,Stoke-on-Trent Central,0.8,26.5,23.8,24.7,24.2,0.515
E14001521,Lab,69854,36150,103,Stoke-on-Trent North,0.6,33.7,27.9,18.2,19.6,0.503
E14001522,Lab,70002,40942,120,Stoke-on-Trent South,0.6,39.9,30.7,12.2,16.5,0.513
E14001524,Lab,68311,39878,113,Stourbridge,0.7,36.9,28.7,15.2,18.4,0.487
E14001525,Lab,80735,43435,287,Stratford and Bow,3.7,10.5,17.3,37.6,30.9,0.483
E14001527,Lab,82829,44553,190,Streatham and Croydon North,1.6,19.6,29.5,31.6,17.8,0.496
E14001528,Lab,75153,46002,168,Stretford and Urmston,1.0,31.4,32.3,15.5,19.8,0.489
E14001529,Lab,77905,55221,227,Stroud,1.3,40.9,30.9,13.7,13.1,0.484
E14001530,Lab,74522,49451,189,Suffolk Coastal,0.4,46.2,22.9,17.0,13.4,0.504
E14001531,Lab,76145,39957,99,Sunderland Central,0.5,32.0,25.6,19.8,22.0,0.516
W07000108,Lab,74236,35657,130,Swansea West,0.7,28.8,21.5,22.9,26.1,0.51
E14001536,Lab,73224,44165,124,Swindon North,1.5,29.3,37.5,15.8,15.8,0.503
E14001537,Lab,72575,44794,147,Swindon South,1.4,27.3,31.8,23.8,15.7,0.517
E14001538,Lab,75055,43788,116,Tamworth,0.8,35.7,33.3,13.8,16.3,0.485
E14001541,Lab,73808,40730,148,Telford,1.0,26.8,29.7,22.7,19.8,0.5
E14001546,Lab,73392,37558,97,Thurrock,0.9,20.9,38.2,20.7,19.3,0.491
E14001547,Lab,74098,31850,139,Tipton and Wednesbury,1.0,25.9,25.3,15.1,32.7,0.516
E14001550,Lab,76168,52943,255,Tooting,1.2,18.3,28.2,36.0,16.3,0.518
W07000109,Lab,71738,35705,117,Torfaen,0.7,34.7,29.7,11.2,23.8,0.508
E14001553,Lab,75906,40148,250,Tottenham,2.9,12.3,14.9,36.9,33.0,0.487
E14001554,Lab,72982,50264,163,Truro and Falmouth,1.3,40.3,24.5,21.0,12.8,0.484
E14001557,Lab,73194,48418,136,Tynemouth,0.4,36.4,30.4,16.3,16.5,0.505
E14001558,Lab,74745,45914,175,Uxbridge and South Ruislip,1.4,27.6,32.2,24.5,14.4,0.485
W07000110,Lab,74465,45826,139,Vale of Glamorgan,0.3,36.9,33.6,16.0,13.2,0.502
E14001559,Lab,77527,37536,261,Vauxhall and Camberwell Green,2.6,9.0,14.4,28.8,45.1,0.488
E14001560,Lab,75067,40656,112,Wakefield and Rothwell,0.8,29.6,30.0,16.4,23.2,0.489
E14001561,Lab,74082,42746,168,Wallasey,0.6,33.8,29.2,22.1,14.3,0.513
E14001562,Lab,74951,37191,141,Walsall and Bloxwich,0.6,25.7,22.4,20.7,30.6,0.512
E14001563,Lab,74474,45668,255,Walthamstow,2.3,16.3,29.0,30.1,22.3,0.512
E14001564,Lab,70601,40041,125,Warrington North,0.8,34.3,30.7,14.4,19.8,0.498
E14001565,Lab,78394,49672,192,Warrington South,0.8,35.3,35.7,16.3,11.9,0.509
E14001566,Lab,76294,49198,245,Warwick and Leamington,1.7,29.6,30.7,21.2,16.8,0.504
E14001567,Lab,70972,37021,100,Washington and Gateshead South,0.4,30.4,26.8,12.3,30.0,0.494
E14001568,Lab,73100,44455,192,Watford,1.1,24.5,31.4,27.5,15.5,0.496
E14001571,Lab,77542,43985,145,Wellingborough and Rushden,1.3,31.2,31.7,18.8,17.0,0.481
E14001573,Lab,75259,48455,192,Welwyn Hatfield,1.7,26.4,28.8,16.7,26.4,0.516
E14001574,Lab,74025,36481,136,West Bromwich,0.9,30.2,27.2,18.3,23.3,0.497
E14001576,Lab,78964,36348,149,West Ham and Beckton,3.0,9.3,17.5,36.0,34.2,0.505
E14001577,Lab,74081,44200,224,West Lancashire,1.0,37.5,31.4,14.3,15.7,0.488
E14001581,Lab,71396,42390,143,Weston-super-Mare,0.8,33.2,31.1,24.0,10.9,0.501
E14001583,Lab,73198,41840,159,Whitehaven and Workington,0.4,39.9,28.7,10.7,20.2,0.505
E14001584,Lab,70161,38116,95,Widnes and Halewood,0.8,32.7,32.2,13.6,20.8,0.506
E14001585,Lab,77538,40899,124,Wigan,0.7,33.1,29.2,16.4,20.7,0.489
E14001589,Lab,72838,49951,187,Wirral West,0.4,47.7,32.0,11.5,8.3,0.491
E14001594,Lab,70715,33289,107,Wolverhampton North East,0.7,30.5,26.0,15.1,27.8,0.501
E14001595,Lab,77473,33382,129,Wolverhampton South East,0.8,25.4,24.0,18.6,31.3,0.49
E14001596,Lab,77851,43657,153,Wolverhampton West,0.9,33.5,25.9,22.1,17.7,0.497
E14001597,Lab,74931,46036,179,Worcester,1.1,32.0,29.4,21.2,16.3,0.506
E14001598,Lab,78643,42543,164,Worsley and Eccles,0.8,30.0,32.8,16.7,19.7,0.515
E14001599,Lab,77039,50997,178,Worthing West,0.8,40.4,28.7,20.0,10.0,0.513
W07000111,Lab,70269,40373,128,Wrexham,0.6,34.9,28.3,16.6,19.6,0.485
E14001600,Lab,73415,44637,174,Wycombe,1.5,28.2,34.2,21.4,14.7,0.516
E14001602,Lab,77767,39132,142,Wythenshawe and Sale East,1.0,23.0,26.6,16.6,32.8,0.49
E14001604,Lab,79557,43323,228,York Central,0.9,27.5,24.9,28.0,18.7,0.508
E14001605,Lab,76228,51106,184,York Outer,0.9,47.3,32.2,11.1,8.6,0.485
E14001064,Con,70268,40912,156,Aldridge-Brownhills,0.7,42.0,33.2,10.7,13.4,0.104
E14001067,Con,77969,54740,214,Arundel and South Downs,1.0,44.3,28.6,14.3,11.7,0.109
E14001077,Con,76873,42124,176,Basildon and Billericay,1.1,29.5,32.3,13.0,24.0,0.104
E14001082,Con,72751,47726,162,Beaconsfield,1.1,37.7,33.5,15.4,12.2,0.096
E14001087,Con,71994,44897,144,Beverley and Holderness,0.6,44.4,29.7,15.8,9.6,0.107
E14001088,Con,72198,47750,188,Bexhill and Battle,0.9,48.5,25.3,16.2,9.2,0.096
E14001108,Con,76854,47827,186,Bognor Regis and Littlehampton,1.3,41.9,25.5,21.0,10.3,0.098
E14001121,Con,77673,49028,167,Braintree,0.8,35.4,33.6,15.2,14.9,0.108
E14001125,Con,75352,48332,169,Brentwood and Ongar,0.9,37.2,34.8,15.1,12.0,0.094
E14001126,Con,71571,40129,149,Bridgwater,1.0,36.5,28.7,19.5,14.2,0.093
E14001127,Con,74438,42937,140,Bridlington and The Wolds,0.6,44.1,24.3,21.0,10.1,0.09
E14001128,Con,73099,42508,168,Brigg and Immingham,0.5,42.5,33.2,14.2,9.5,0.104
E14001136,Con,76863,49513,192,Broadland and Fakenham,1.0,45.2,29.1,13.8,10.9,0.098
E14001137,Con,70713,46788,173,Bromley and Biggin Hill,0.8,34.1,38.1,17.6,9.4,0.092
E14001138,Con,76468,50405,140,Bromsgrove,1.1,42.4,35.1,10.6,10.7,0.11
E14001139,Con,75210,42952,142,Broxbourne,1.1,33.3,35.4,16.0,14.2,0.106
E14001154,Con,71026,40633,138,Castle Point,0.4,45.4,34.8,14.0,5.4,0.106
E14001155,Con,75385,53432,211,Central Devon,1.0,44.3,26.9,18.0,9.9,0.097
E14001156,Con,73046,46423,215,Central Suffolk and North Ipswich,0.7,42.4,31.1,13.8,12.1,0.097
E14001164,Con,74284,52486,155,Chester South and Eddisbury,1.5,43.2,32.2,13.9,9.3,0.103
E14001167,Con,74010,48512,135,Chingford and Woodford Green,1.1,30.3,33.7,18.6,16.3,0.091
E14001171,Con,71060,47335,143,Christchurch,0.9,51.3,25.6,12.1,10.1,0.089
E14001187,Con,74889,49378,159,Croydon South,1.6,31.8,37.6,19.2,9.8,0.095
E14001192,Con,80879,53082,216,Daventry,1.5,37.3,34.8,13.8,12.8,0.091
E14001203,Con,76624,49609,177,Droitwich and Evesham,1.3,38.9,30.1,13.5,16.2,0.09
E14001212,Con,75385,50393,471,East Grinstead and Uckfield,1.2,39.7,34.8,14.5,9.7,0.091
E14001214,Con,70659,50006,157,East Hampshire,1.4,41.4,31.4,13.7,12.1,0.098
E14001215,Con,73307,49196,208,East Surrey,1.3,36.1,37.4,13.2,12.0,0.104
E14001217,Con,74139,47193,167,East Wiltshire,1.3,33.3,26.8,22.7,15.9,0.109
E14001226,Con,72229,41753,793,Epping Forest,0.8,33.4,34.8,15.5,15.5,0.101
E14001232,Con,79983,51316,151,Exmouth and Exeter East,2.0,40.2,29.7,16.2,11.9,0.097
E14001233,Con,76947,50123,168,Fareham and Waterlooville,1.1,41.6,32.8,13.1,11.4,0.108
E14001234,Con,75920,53015,197,Farnham and Bordon,1.3,37.3,35.2,13.9,12.4,0.089
E14001235,Con,74301,46594,172,Faversham and Mid Kent,1.7,36.5,33.3,12.8,15.7,0.11
E14001242,Con,77100,47960,145,Fylde,0.8,44.0,28.7,18.8,7.8,0.091
E14001243,Con,75836,46685,177,Gainsborough,1.0,41.5,28.8,17.8,10.9,0.102
E14001249,Con,75816,54696,138,Godalming and Ash,1.4,38.1,34.0,14.1,12.4,0.107
E14001250,Con,79925,49742,165,Goole and Pocklington,0.6,41.1,33.3,16.1,8.9,0.093
E14001252,Con,73261,44277,134,Gosport,1.3,37.2,29.2,17.5,14.8,0.11
E14001253,Con,73285,46125,150,Grantham and Bourne,1.0,37.3,30.4,18.5,12.7,0.092
E14001263,Con,79478,54004,187,Hamble Valley,1.7,36.5,38.0,14.1,9.7,0.109
E14001266,Con,77075,50386,191,"Harborough, Oadby and Wigston",1.4,41.6,32.9,15.5,8.6,0.094
E14001270,Con,76513,47777,204,Harrow East,1.3,33.3,27.3,27.8,10.3,0.109
E14001273,Con,76296,48043,195,Harwich and North Essex,0.6,41.8,30.4,17.2,10.0,0.092
E14001275,Con,72323,42186,133,Havant,1.0,37.7,28.3,12.6,20.4,0.106
E14001281,Con,72203,45572,154,Hereford and South Herefordshire,1.0,38.8,24.9,19.5,15.9,0.102
E14001282,Con,77869,48827,196,Herne Bay and Sandwich,0.9,43.4,28.7,18.2,8.8,0.089
E14001284,Con,73465,48007,204,Hertsmere,1.1,32.1,33.1,16.8,16.8,0.101
E14001288,Con,76407,47799,147,Hinckley and Bosworth,0.9,39.0,34.6,14.9,10.6,0.108
E14001292,Con,75438,46911,125,Hornchurch and Upminster,0.8,36.1,34.6,13.0,15.5,0.094
E14001298,Con,79074,52040,194,Huntingdon,1.5,36.0,32.4,17.5,12.6,0.092
E14001303,Con,55855,34078,71,Isle of Wight East,0.7,46.0,21.4,21.7,10.2,0.094
E14001308,Con,74367,46186,175,Keighley and Ilkley,0.7,38.9,30.5,19.8,10.1,0.098
E14001309,Con,74923,53320,184,Kenilworth and Southam,1.5,42.4,33.2,12.5,10.4,0.102
E14001316,Con,71645,45180,146,Kingswinford and South Staffordshire,0.5,46.9,31.0,10.5,11.0,0.093
E14001326,Con,76560,46714,255,Leicester East,1.0,28.6,26.1,24.3,20.1,0.099
E14001343,Con,76880,46479,131,Louth and Horncastle,1.1,47.3,22.8,18.4,10.5,0.09
E14001349,Con,76449,46389,131,Maidstone and Malling,2.0,29.9,33.9,20.3,13.9,0.099
E14001351,Con,78282,49841,199,Maldon,0.8,43.4,33.7,11.7,10.3,0.109
E14001357,Con,74316,45986,163,Melton and Syston,1.3,40.2,32.5,16.0,10.1,0.105
E14001358,Con,73659,44035,161,Meriden and Solihull East,0.8,38.0,30.7,13.2,17.3,0.091
E14001359,Con,75457,49621,179,Mid Bedfordshire,2.5,34.3,39.8,11.8,11.5,0.105
E14001360,Con,75622,53951,231,Mid Buckinghamshire,1.4,38.8,36.3,12.8,10.6,0.098
E14001364,Con,75924,48050,181,Mid Leicestershire,0.8,41.7,37.2,13.0,7.3,0.095
E14001365,Con,75238,45897,222,Mid Norfolk,0.8,42.5,28.2,16.8,11.6,0.102
E14001373,Con,70618,45230,146,New Forest East,0.6,43.6,30.5,13.6,11.7,0.098
E14001374,Con,68644,46337,152,New Forest West,0.8,49.6,24.6,15.1,9.9,0.095
E14001375,Con,79783,53459,198,Newark,1.0,40.4,30.3,16.3,12.0,0.103
E14001384,Con,78850,51561,210,North Bedfordshire,2.1,35.3,37.0,13.1,12.4,0.11
E14001386,Con,73203,50229,188,North Cotswolds,1.8,40.2,29.8,15.6,12.6,0.1
E14001388,Con,72690,49683,153,North Dorset,1.0,44.0,27.1,16.2,11.8,0.108
E14001390,Con,71511,39176,145,North East Cambridgeshire,0.6,37.7,29.1,19.9,12.7,0.092
E14001402,Con,79698,54386,215,North West Essex,1.9,35.3,34.9,13.9,14.0,0.11
E14001403,Con,78629,50823,171,North West Hampshire,2.5,30.2,35.0,14.6,17.8,0.108
E14001405,Con,74415,44566,187,North West Norfolk,0.6,40.8,24.5,18.7,15.4,0.093
E14001414,Con,73198,47633,126,Old Bexley and Sidcup,1.1,37.7,38.5,13.7,8.9,0.097
E14001417,Con,71284,46073,165,Orpington,0.8,38.1,35.1,11.3,14.7,0.109
E14001437,Con,76576,47978,166,Rayleigh and Wickford,0.6,44.0,37.7,11.3,6.4,0.106
E14001442,Con,77102,53161,198,Reigate,1.3,35.0,36.9,15.8,11.1,0.092
E14001444,Con,73886,48526,99,Richmond and Northallerton,0.7,43.2,24.4,18.8,13.0,0.098
E14001448,Con,72928,44047,132,Romford,1.3,32.8,35.2,19.1,11.7,0.092
E14001449,Con,71871,50027,151,Romsey and Southampton North,1.3,38.9,29.0,17.7,13.1,0.105
E14001454,Con,71683,47091,160,"Ruislip, Northwood and Pinner",0.6,36.6,32.7,19.4,10.7,0.108
E14001456,Con,73610,48253,156,Runnymede and Weybridge,1.3,33.4,34.5,18.9,11.9,0.1
E14001458,Con,71763,48577,170,Rutland and Stamford,1.5,42.1,29.2,16.4,10.9,0.105
E14001460,Con,71802,50173,174,Salisbury,1.7,38.2,27.5,17.6,15.0,0.109
E14001465,Con,73708,49899,151,Sevenoaks,1.6,37.8,34.1,13.2,13.2,0.109
E14001475,Con,79238,53450,164,Skipton and Ripon,0.7,44.8,26.2,18.5,9.7,0.111
E14001476,Con,75651,48565,196,Sleaford and North Hykeham,1.3,39.8,33.2,15.6,10.1,0.091
E14001479,Con,71816,46877,151,Solihull West and Shirley,1.0,41.5,36.5,13.3,7.7,0.099
E14001487,Con,78473,45930,133,South Holland and The Deepings,1.2,40.8,29.4,16.6,11.9,0.094
E14001488,Con,78511,51359,183,South Leicestershire,1.6,39.6,37.5,11.8,9.5,0.095
E14001490,Con,78233,53697,187,South Northamptonshire,1.6,36.6,38.0,13.4,10.5,0.095
E14001493,Con,76677,51653,209,South Shropshire,0.8,47.6,21.9,18.1,11.6,0.103
E14001494,Con,74619,48801,183,South Suffolk,0.9,43.5,27.6,14.8,13.3,0.09
E14001495,Con,77600,52242,119,South West Devon,1.4,42.8,33.8,14.4,7.5,0.094
E14001496,Con,71737,48254,145,South West Hertfordshire,0.8,35.0,36.2,13.4,14.7,0.092
E14001498,Con,73071,46168,167,South West Wiltshire,0.7,37.3,30.3,17.5,14.2,0.098
E14001505,Con,73782,46166,144,Spelthorne,1.3,33.4,34.6,17.9,12.7,0.098
E14001514,Con,69892,43302,188,Staffordshire Moorlands,0.4,47.8,29.7,13.0,9.1,0.094
E14001519,Con,71868,48638,114,Stockton West,0.5,40.9,39.5,12.6,6.5,0.1
E14001523,Con,71561,42770,727,"Stone, Great Wyrley and Penkridge",1.0,42.9,31.6,11.6,12.8,0.108
E14001533,Con,72885,49175,190,Sussex Weald,1.4,43.3,32.7,13.2,9.4,0.097
E14001535,Con,74080,48333,172,Sutton Coldfield,0.6,42.5,35.3,13.1,8.5,0.097
E14001539,Con,74237,51909,198,Tatton,0.8,42.0,32.6,14.5,10.2,0.092
E14001543,Con,78942,50020,163,The Wrekin,0.8,35.5,30.2,18.4,15.0,0.104
E14001544,Con,78468,49797,169,Thirsk and Malton,1.0,43.5,23.2,19.8,12.5,0.103
E14001549,Con,72799,50328,150,Tonbridge,2.0,37.9,32.1,13.5,14.5,0.099
E14001552,Con,74727,50820,170,Torridge and Tavistock,0.9,46.3,24.0,19.4,9.4,0.109
E14001570,Con,75987,50712,257,Weald of Kent,1.8,42.6,31.5,12.9,11.3,0.095
E14001578,Con,77145,46161,173,West Suffolk,1.3,31.4,27.8,23.6,15.9,0.103
E14001579,Con,79246,54687,191,West Worcestershire,1.3,45.3,25.8,13.2,14.4,0.091
E14001582,Con,74314,52259,171,Wetherby and Easingwold,1.0,44.1,31.6,13.3,9.9,0.097
E14001588,Con,73334,45246,173,Windsor,0.8,29.8,30.6,23.2,15.6,0.103
E14001590,Con,78991,50603,171,Witham,0.7,37.3,34.8,13.1,14.0,0.092
E14001601,Con,77329,45158,137,Wyre Forest,1.1,40.7,28.0,16.0,14.2,0.097
E14001068,RUK,68929,39882,102,Ashfield,0.6,35.9,31.1,16.9,15.4,0.8
E14001114,RUK,75811,40455,128,Boston and Skegness,1.3,38.1,22.0,21.9,16.7,0.801
E14001174,RUK,78245,45958,111,Clacton,0.5,49.4,22.3,20.2,7.6,0.802
E14001256,RUK,73317,40748,121,Great Yarmouth,0.5,38.1,23.7,21.5,16.2,0.802
E14001480,RUK,72673,39549,123,South Basildon and East Thurrock,1.2,30.6,34.1,15.0,19.0,0.801
E14001080,LD,69662,48130,192,Bath,1.0,32.8,24.4,25.5,16.3,0.603
E14001090,LD,74353,50219,167,Bicester and Woodstock,2.1,34.9,33.0,18.6,11.3,0.607
W07000085,LD,73114,46548,120,"Brecon, Radnor and Cwm Tawe",0.4,46.5,22.5,16.4,14.3,0.599
E14001153,LD,74362,46670,117,Carshalton and Wallington,1.3,26.5,37.1,15.8,19.3,0.597
E14001158,LD,74383,50731,110,Cheadle,0.8,43.7,38.0,11.0,6.5,0.606
E14001159,LD,76970,50716,139,Chelmsford,1.3,31.9,33.4,18.5,14.8,0.606
E14001161,LD,76144,49542,986,Cheltenham,0.8,34.0,28.6,24.7,11.9,0.605
E14001162,LD,74889,54455,161,Chesham and Amersham,0.7,39.6,35.1,12.5,12.0,0.606
E14001166,LD,78374,51947,146,Chichester,1.7,42.9,23.2,18.0,14.2,0.605
E14001168,LD,74107,49512,157,Chippenham,1.4,35.5,32.3,16.4,14.5,0.598
E14001197,LD,80689,54733,215,Didcot and Wantage,2.9,33.0,35.0,14.7,14.4,0.595
E14001201,LD,71645,49965,168,Dorking and Horley,1.5,39.5,33.9,14.2,10.9,0.597
E14001219,LD,72590,45605,159,Eastbourne,0.7,35.8,23.9,26.6,13.0,0.593
E14001220,LD,69965,46420,130,Eastleigh,1.9,36.2,35.5,13.8,12.6,0.602
E14001224,LD,79112,52369,155,Ely and East Cambridgeshire,1.6,36.4,31.8,16.6,13.6,0.605
E14001227,LD,76513,54525,172,Epsom and Ewell,1.2,36.5,36.5,16.2,9.7,0.605
E14001230,LD,74042,53880,157,Esher and Walton,1.2,33.7,38.7,16.1,10.2,0.598
E14001241,LD,71593,46716,143,Frome and East Somerset,1.0,39.9,31.2,15.8,12.1,0.597
E14001247,LD,73268,47642,203,Glastonbury and Somerton,1.3,43.4,25.9,16.7,12.7,0.604
E14001258,LD,70662,48294,162,Guildford,1.5,33.0,30.3,21.9,13.2,0.599
E14001268,LD,72242,54336,188,Harpenden and Berkhamsted,0.5,39.2,36.2,12.9,11.3,0.607
E14001269,LD,77955,52064,125,Harrogate and Knaresborough,1.0,39.0,30.5,19.5,10.0,0.594
E14001277,LD,72846,45998,170,Hazel Grove,1.3,41.0,33.9,11.6,12.2,0.606
E14001280,LD,73749,53157,174,Henley and Thame,1.1,41.6,30.9,15.3,11.1,0.608
E14001291,LD,75537,50655,137,Honiton and Sidmouth,1.3,48.9,23.8,15.9,10.1,0.608
E14001294,LD,79150,55499,225,Horsham,1.9,35.9,34.8,15.6,11.7,0.597
E14001312,LD,77353,50664,149,Kingston and Surbiton,0.8,26.5,32.6,28.3,11.8,0.592
E14001330,LD,76166,53173,171,Lewes,0.9,45.2,28.0,16.3,9.6,0.598
E14001348,LD,75687,50329,516,Maidenhead,1.2,34.8,35.2,18.2,10.7,0.606
E14001356,LD,73482,51203,203,Melksham and Devizes,1.0,41.0,30.1,13.0,14.9,0.601
E14001363,LD,75294,49514,798,Mid Dorset and North Poole,0.8,44.6,31.1,13.1,10.4,0.601
E14001366,LD,75969,53328,145,Mid Sussex,1.4,35.8,36.1,15.4,11.3,0.6
E14001376,LD,71982,48930,173,Newbury,1.6,32.2,31.5,18.9,15.8,0.603
E14001381,LD,73885,47992,158,Newton Abbot,1.4,42.3,28.3,18.3,9.7,0.602
E14001385,LD,76741,51245,47,North Cornwall,1.1,43.1,22.5,19.8,13.5,0.599
E14001387,LD,79079,51417,132,North Devon,1.1,41.8,25.5,20.4,11.1,0.604
E14001392,LD,76923,55560,143,North East Hampshire,1.9,37.0,38.1,13.7,9.2,0.606
E14001396,LD,71438,47043,138,North Norfolk,0.7,49.6,19.6,17.4,12.7,0.604
E14001398,LD,77573,49594,120,North Shropshire,0.8,42.0,27.2,16.9,13.0,0.596
E14001420,LD,69851,45998,196,Oxford West and Abingdon,1.0,35.8,25.5,24.1,13.5,0.607
E14001445,LD,74988,51517,218,Richmond Park,0.8,29.1,29.8,27.7,12.6,0.595
E14001481,LD,77327,54885,228,South Cambridgeshire,1.9,37.9,28.9,14.6,16.6,0.596
E14001482,LD,71971,52287,163,South Cotswolds,1.9,40.4,28.8,15.6,13.4,0.596
E14001484,LD,72261,49004,142,South Devon,1.5,46.5,22.7,17.0,12.2,0.607
E14001507,LD,72739,51614,203,St Albans,0.7,32.6,35.4,17.9,13.4,0.597
E14001511,LD,69978,48106,150,St Ives,1.1,43.9,21.3,19.8,13.8,0.601
E14001512,LD,78115,52882,138,St Neots and Mid Cambridgeshire,2.7,33.1,35.1,15.2,13.9,0.606
E14001526,LD,75714,52959,179,Stratford-on-Avon,1.7,41.7,28.6,14.9,13.1,0.606
E14001532,LD,71934,47788,140,Surrey Heath,1.0,36.7,37.0,15.7,9.5,0.605
E14001534,LD,72303,47606,139,Sutton and Cheam,1.0,30.3,34.9,24.6,9.2,0.599
E14001540,LD,78680,50294,167,Taunton and Wellington,1.3,35.9,28.2,18.6,16.0,0.607
E14001542,LD,73458,48539,150,Tewkesbury,2.0,40.0,31.7,14.8,11.5,0.593
E14001545,LD,78192,53367,148,Thornbury and Yate,0.9,42.8,35.4,12.2,8.7,0.6
E14001548,LD,72087,47491,197,Tiverton and Minehead,0.9,43.6,23.2,18.6,13.8,0.601
E14001551,LD,76185,46115,110,Torbay,0.9,36.9,24.9,29.5,7.8,0.593
E14001555,LD,78738,54250,191,Tunbridge Wells,1.1,33.4,31.6,19.6,14.4,0.608
E14001556,LD,74980,53635,226,Twickenham,0.9,30.8,33.8,23.3,11.2,0.595
E14001572,LD,73538,50368,149,Wells and Mendip Hills,1.1,45.9,29.5,14.5,9.0,0.596
E14001575,LD,75998,52605,618,West Dorset,1.2,47.3,20.2,17.0,14.2,0.595
E14001580,LD,72029,49533,115,Westmorland and Lonsdale,0.8,47.1,23.1,18.1,11.0,0.601
E14001586,LD,76334,54985,171,Wimbledon,0.7,29.3,31.7,29.5,8.9,0.596
E14001587,LD,78289,57076,185,Winchester,1.2,36.7,28.4,17.4,16.2,0.6
E14001591,LD,75448,50584,158,Witney,2.4,34.6,30.7,18.5,13.8,0.593
E14001592,LD,72969,48145,171,Woking,0.9,32.0,34.5,21.1,11.5,0.605
E14001593,LD,75082,53999,199,Wokingham,2.2,36.7,38.7,14.0,8.3,0.597
